scheme_code,name,amc,category,type,risk_level,expense_ratio,aum_in_crore,inception_date,fund_manager,investment_objective,returns,volatility,rating
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,INF209KA13Z9,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,-,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,Aditya Birla Sun Life Mutual Fund,-,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,Aditya Birla Sun Life Mutual Fund,-,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,Aditya Birla Sun Life Mutual Fund,INF209KA11Z3,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,Aditya Birla Sun Life Mutual Fund,-,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,Aditya Birla Sun Life Mutual Fund,-,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,-,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,Aditya Birla Sun Life Mutual Fund,-,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,Aditya Birla Sun Life Mutual Fund,-,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,Axis Mutual Fund,-,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,Axis Mutual Fund,-,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,Axis Mutual Fund,INF846K01CS4,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,Axis Mutual Fund,INF846K01CU0,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,Aditya Birla Sun Life Mutual Fund,-,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,Axis Mutual Fund,INF846K01CW6,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,Axis Mutual Fund,INF846K01CC8,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,Axis Mutual Fund,-,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,Axis Mutual Fund,-,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,Axis Mutual Fund,INF846K01CG9,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,Bajaj Finserv Mutual Fund,INF0QA701623,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,Bajaj Finserv Mutual Fund,-,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,Bajaj Finserv Mutual Fund,INF0QA701631,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,Axis Mutual Fund,INF846K01CE4,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,Bajaj Finserv Mutual Fund,INF0QA701573,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
121936,BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW,Bandhan Mutual Fund,-,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
121934,BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW,Bandhan Mutual Fund,INF194K010N5,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,Bajaj Finserv Mutual Fund,-,Other,,0,0,,,,"{""1y"": 0, ""3y"": 0, ""5y"": 0, ""since_inception"": 0}",0,0
