code,name,amc,category,type
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,INF209KA13Z9,Other
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,Aditya Birla Sun Life Mutual Fund,-,Other
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,-,Other
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,Aditya Birla Sun Life Mutual Fund,INF209KA11Z3,Other
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,Aditya Birla Sun Life Mutual Fund,-,Other
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,-,Other
110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,Aditya Birla Sun Life Mutual Fund,-,Other
106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,Aditya Birla Sun Life Mutual Fund,-,Other
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,Aditya Birla Sun Life Mutual Fund,-,Other
103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,Aditya Birla Sun Life Mutual Fund,-,Other
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,Aditya Birla Sun Life Mutual Fund,-,Other
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,Axis Mutual Fund,-,Other
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,Axis Mutual Fund,INF846K01CU0,Other
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,Axis Mutual Fund,-,Other
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,Axis Mutual Fund,INF846K01CS4,Other
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,Axis Mutual Fund,INF846K01CW6,Other
128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,Axis Mutual Fund,-,Other
117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,Axis Mutual Fund,INF846K01CC8,Other
117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,Axis Mutual Fund,-,Other
117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,Axis Mutual Fund,INF846K01CG9,Other
117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,Axis Mutual Fund,INF846K01CE4,Other
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,Bajaj Finserv Mutual Fund,INF0QA701631,Other
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,Bajaj Finserv Mutual Fund,INF0QA701623,Other
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,Bajaj Finserv Mutual Fund,-,Other
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,Bajaj Finserv Mutual Fund,INF0QA701573,Other
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,Bajaj Finserv Mutual Fund,-,Other
152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,Bajaj Finserv Mutual Fund,INF0QA701581,Other
121936,BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW,Bandhan Mutual Fund,-,Other
127471,BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW,Bandhan Mutual Fund,INF194KA1JD3,Other
121934,BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW,Bandhan Mutual Fund,INF194K010N5,Other
121279,BANDHAN Banking & PSU Debt Fund - Direct Growth,Bandhan Mutual Fund,-,Other
121281,BANDHAN Banking & PSU Debt Fund - Direct IDCW,Bandhan Mutual Fund,INF194K017G4,Other
121935,BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW,Bandhan Mutual Fund,INF194K011N3,Other
121938,BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW,Bandhan Mutual Fund,-,Other
121933,BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW,Bandhan Mutual Fund,-,Other
127470,BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW,Bandhan Mutual Fund,INF194KA1JC5,Other
121931,BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW,Bandhan Mutual Fund,INF194K016M4,Other
121280,BANDHAN Banking & PSU Debt Fund - Regular Growth,Bandhan Mutual Fund,-,Other
121282,BANDHAN Banking & PSU Debt Fund - Regular IDCW,Bandhan Mutual Fund,INF194K012D2,Other
121932,BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW,Bandhan Mutual Fund,INF194K017M2,Other
121937,BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW,Bandhan Mutual Fund,-,Other
148629,Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,Baroda BNP Paribas Mutual Fund,INF955L01KG9,Other
148628,Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,Baroda BNP Paribas Mutual Fund,-,Other
148630,Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,Baroda BNP Paribas Mutual Fund,INF955L01KE4,Other
148625,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,Baroda BNP Paribas Mutual Fund,-,Other
148626,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,Baroda BNP Paribas Mutual Fund,INF955L01KB0,Other
148627,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,Baroda BNP Paribas Mutual Fund,INF955L01JZ1,Other
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,Canara Robeco Mutual Fund,-,Other
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,Canara Robeco Mutual Fund,INF760K01KD2,Other
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,Canara Robeco Mutual Fund,-,Other
150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),Canara Robeco Mutual Fund,INF760K01KG5,Other
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,DSP Mutual Fund,-,Other
124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,DSP Mutual Fund,INF740K01A26,Other
124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,DSP Mutual Fund,INF740KA1OF7,Other
