name,category,min_investment,returns,risk,fund_house,is_sip
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,INF209KA13Z9,1000,{},Moderate,Aditya Birla Sun Life Mutual Fund,True
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,-,1000,{},Moderate,Aditya Birla Sun Life Mutual Fund,True
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,-,1000,{},Moderate,Aditya Birla Sun Life Mutual Fund,True
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,INF209KA11Z3,1000,{},Moderate,Aditya Birla Sun Life Mutual Fund,True
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,-,1000,{},Moderate,Aditya Birla Sun Life Mutual Fund,True
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,-,1000,{},Moderate,Aditya Birla Sun Life Mutual Fund,True
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,-,1000,{},Moderate,Aditya Birla Sun Life Mutual Fund,True
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,-,1000,{},Moderate,Aditya Birla Sun Life Mutual Fund,True
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,-,1000,{},Moderate,Aditya Birla Sun Life Mutual Fund,True
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,-,1000,{},Moderate,Aditya Birla Sun Life Mutual Fund,True
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,-,1000,{},Moderate,Aditya Birla Sun Life Mutual Fund,True
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,-,1000,{},Moderate,Axis Mutual Fund,True
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,INF846K01CU0,1000,{},Moderate,Axis Mutual Fund,True
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,-,1000,{},Moderate,Axis Mutual Fund,True
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,INF846K01CS4,1000,{},Moderate,Axis Mutual Fund,True
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,INF846K01CW6,1000,{},Moderate,Axis Mutual Fund,True
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,-,1000,{},Moderate,Axis Mutual Fund,True
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,INF846K01CC8,1000,{},Moderate,Axis Mutual Fund,True
Axis Banking & PSU Debt Fund - Regular Plan - Growth option,-,1000,{},Moderate,Axis Mutual Fund,True
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,INF846K01CG9,1000,{},Moderate,Axis Mutual Fund,True
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,INF846K01CE4,1000,{},Moderate,Axis Mutual Fund,True
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,INF0QA701631,1000,{},Moderate,Bajaj Finserv Mutual Fund,True
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,INF0QA701623,1000,{},Moderate,Bajaj Finserv Mutual Fund,True
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,-,1000,{},Moderate,Bajaj Finserv Mutual Fund,True
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,INF0QA701573,1000,{},Moderate,Bajaj Finserv Mutual Fund,True
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,-,1000,{},Moderate,Bajaj Finserv Mutual Fund,True
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,INF0QA701581,1000,{},Moderate,Bajaj Finserv Mutual Fund,True
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW,-,1000,{},Moderate,Bandhan Mutual Fund,True
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW,INF194KA1JD3,1000,{},Moderate,Bandhan Mutual Fund,True
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW,INF194K010N5,1000,{},Moderate,Bandhan Mutual Fund,True
BANDHAN Banking & PSU Debt Fund - Direct Growth,-,1000,{},Moderate,Bandhan Mutual Fund,True
BANDHAN Banking & PSU Debt Fund - Direct IDCW,INF194K017G4,1000,{},Moderate,Bandhan Mutual Fund,True
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW,INF194K011N3,1000,{},Moderate,Bandhan Mutual Fund,True
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW,-,1000,{},Moderate,Bandhan Mutual Fund,True
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW,-,1000,{},Moderate,Bandhan Mutual Fund,True
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW,INF194KA1JC5,1000,{},Moderate,Bandhan Mutual Fund,True
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW,INF194K016M4,1000,{},Moderate,Bandhan Mutual Fund,True
BANDHAN Banking & PSU Debt Fund - Regular Growth,-,1000,{},Moderate,Bandhan Mutual Fund,True
BANDHAN Banking & PSU Debt Fund - Regular IDCW,INF194K012D2,1000,{},Moderate,Bandhan Mutual Fund,True
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW,INF194K017M2,1000,{},Moderate,Bandhan Mutual Fund,True
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW,-,1000,{},Moderate,Bandhan Mutual Fund,True
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,INF955L01KG9,1000,{},Moderate,Baroda BNP Paribas Mutual Fund,True
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,-,1000,{},Moderate,Baroda BNP Paribas Mutual Fund,True
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,INF955L01KE4,1000,{},Moderate,Baroda BNP Paribas Mutual Fund,True
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,-,1000,{},Moderate,Baroda BNP Paribas Mutual Fund,True
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,INF955L01KB0,1000,{},Moderate,Baroda BNP Paribas Mutual Fund,True
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,INF955L01JZ1,1000,{},Moderate,Baroda BNP Paribas Mutual Fund,True
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,-,1000,{},Moderate,Canara Robeco Mutual Fund,True
